formula,anon,label
"Al: 0.1, Cd: 0.9, Sb: 0.1, Te: 0.9","elem_3486: 0.1, elem_1400: 0.9, elem_3476: 0.1, elem_4345: 0.9",0
"Al: 0.1, In: 0.9, P: 1","elem_3486: 0.1, elem_2476: 0.9, elem_4874: 1",0
"Al: 0.2, Ga: 0.8, P: 1","elem_3486: 0.2, elem_6849: 0.8, elem_4874: 1",0
"Al: 0.2, In: 0.8, P: 1","elem_3486: 0.2, elem_2476: 0.8, elem_4874: 1",0
"Al: 0.35, Ga: 0.65, As: 1","elem_3486: 0.35, elem_6849: 0.65, elem_2057: 1",0
"Al: 0.3, Ga: 0.7, As: 1","elem_3486: 0.3, elem_6849: 0.7, elem_2057: 1",0
"Al: 0.3, In: 0.7, P: 1","elem_3486: 0.3, elem_2476: 0.7, elem_4874: 1",0
"Al: 0.45, Cd: 0.55, Sb: 0.45, Te: 0.55","elem_3486: 0.45, elem_1400: 0.55, elem_3476: 0.45, elem_4345: 0.55",0
"Al: 0.4, Cd: 0.6, Sb: 0.4, Te: 0.6","elem_3486: 0.4, elem_1400: 0.6, elem_3476: 0.4, elem_4345: 0.6",0
"Al: 0.4, Ga: 0.6, P: 1","elem_3486: 0.4, elem_6849: 0.6, elem_4874: 1",0
"Al: 0.4, In: 0.6, P: 1","elem_3486: 0.4, elem_2476: 0.6, elem_4874: 1",0
"Al: 0.5, Ga: 0.5, As: 1","elem_3486: 0.5, elem_6849: 0.5, elem_2057: 1",0
"Al: 0.5, In: 0.5, P: 1","elem_3486: 0.5, elem_2476: 0.5, elem_4874: 1",0
"Al: 0.6, Ga: 0.4, As: 1","elem_3486: 0.6, elem_6849: 0.4, elem_2057: 1",0
"Al: 0.6, Ga: 0.4, P: 1","elem_3486: 0.6, elem_6849: 0.4, elem_4874: 1",0
"Al: 0.6, In: 0.4, P: 1","elem_3486: 0.6, elem_2476: 0.4, elem_4874: 1",0
"Al: 0.75, Ga: 0.25, As: 1","elem_3486: 0.75, elem_6849: 0.25, elem_2057: 1",0
"Al: 0.7, In: 0.3, P: 1","elem_3486: 0.7, elem_2476: 0.3, elem_4874: 1",0
"Al: 0.8, Ga: 0.2, P: 1","elem_3486: 0.8, elem_6849: 0.2, elem_4874: 1",0
"Al: 0.99, Cd: 0.01, Sb: 0.99, Te: 0.01","elem_3486: 0.99, elem_1400: 0.01, elem_3476: 0.99, elem_4345: 0.01",0
"Al: 0.99, Ga: 0.01, P: 1","elem_3486: 0.99, elem_6849: 0.01, elem_4874: 1",0
"Al: 0.99, In: 0.01, P: 1","elem_3486: 0.99, elem_2476: 0.01, elem_4874: 1",0
"Al: 10, V: 1","elem_3486: 10, elem_4182: 1",1
"Al: 13, Ru: 4","elem_3486: 13, elem_9197: 4",1
"Al: 2, Cu: 3, Se: 6","elem_3486: 2, elem_1377: 3, elem_7611: 6",1
"Al: 21, Pt: 8","elem_3486: 21, elem_4859: 8",1
"Al: 2, Co: 1, Ir: 1","elem_3486: 2, elem_9394: 1, elem_7311: 1",1
"Al: 2, Cr: 2, O: 7","elem_3486: 2, elem_2802: 2, elem_9902: 7",1
"Al: 2, Cr: 1, S: 4","elem_3486: 2, elem_2802: 1, elem_9062: 4",1
"Al: 2, Cu: 1","elem_3486: 2, elem_1377: 1",1
"Al: 2, Fe: 1, Ni: 1","elem_3486: 2, elem_7694: 1, elem_7611: 1",1
"Al: 2, Ru: 1","elem_3486: 2, elem_9197: 1",1
"Al: 2, S: 3","elem_3486: 2, elem_9062: 3",0
"Al: 2, Se: 3","elem_3486: 2, elem_7611: 3",0
"Al: 2, Te: 3","elem_3486: 2, elem_4345: 3",0
"Al: 3, Tc: 1","elem_3486: 3, elem_3775: 1",1
"Al: 4, Cu: 2, O: 7","elem_3486: 4, elem_1377: 2, elem_9902: 7",1
"Al: 4, Cu: 9","elem_3486: 4, elem_1377: 9",1
"Al: 5, Rh: 2","elem_3486: 5, elem_6928: 2",1
"Al: 6, Fe: 1","elem_3486: 6, elem_7694: 1",1
"Al: 6, Ru: 1","elem_3486: 6, elem_9197: 1",1
"Al: 6, Tc: 1","elem_3486: 6, elem_3775: 1",1
"Al: 7, C: 3, N: 3","elem_3486: 7, elem_2375: 3, elem_4922: 3",1
"Al: 9, Co: 2","elem_3486: 9, elem_9394: 2",1
"Al: 9, Ir: 2","elem_3486: 9, elem_7311: 2",1
"Al: 9, Rh: 2","elem_3486: 9, elem_6928: 2",1
"Al: 1, Ag: 1, O: 2","elem_3486: 1, elem_3063: 1, elem_9902: 2",0
"Al: 1, Ag: 1, S: 2","elem_3486: 1, elem_3063: 1, elem_9062: 2",0
"Al: 1, Ag: 1, Se: 2","elem_3486: 1, elem_3063: 1, elem_7611: 2",0
"Al: 1, Ag: 1, Te: 2","elem_3486: 1, elem_3063: 1, elem_4345: 2",0
"Al: 1, As: 1","elem_3486: 1, elem_2057: 1",1
"Al: 1, B: 12","elem_3486: 1, elem_8033: 12",0
"Al: 1, B: 2","elem_3486: 1, elem_8033: 2",1
"Al: 1, Bi: 1","elem_3486: 1, elem_9183: 1",0
"Al: 1, Co: 1, O: 3","elem_3486: 1, elem_9394: 1, elem_9902: 3",1
"Al: 1, Cu: 3","elem_3486: 1, elem_1377: 3",1
"Al: 1, Cu: 7, O: 12","elem_3486: 1, elem_1377: 7, elem_9902: 12",1
"Al: 1, Cu: 1, S: 2","elem_3486: 1, elem_1377: 1, elem_9062: 2",0
"Al: 1, Cu: 1, Se: 2","elem_3486: 1, elem_1377: 1, elem_7611: 2",0
"Al: 1, Cu: 1, Te: 2","elem_3486: 1, elem_1377: 1, elem_4345: 2",0
"Al: 1, Fe: 2, Si: 1","elem_3486: 1, elem_7694: 2, elem_1995: 1",1
"Al: 1, Fe: 4, Cu: 3, O: 12","elem_3486: 1, elem_7694: 4, elem_1377: 3, elem_9902: 12",1
"Al: 1, Ir: 1","elem_3486: 1, elem_7311: 1",1
"Al: 1, N: 1","elem_3486: 1, elem_4922: 1",0
"Al: 1, Ni: 2","elem_3486: 1, elem_7611: 2",1
"Al: 1, P: 1","elem_3486: 1, elem_4874: 1",0
"Al: 1, Pd: 5, I: 2","elem_3486: 1, elem_8322: 5, elem_7655: 2",1
"Al: 1, Sb: 1","elem_3486: 1, elem_3476: 1",0
"Al: 1, Sn: 1","elem_3486: 1, elem_8076: 1",1
"Al: 1, V: 1, Te: 2, O: 8","elem_3486: 1, elem_4182: 1, elem_4345: 2, elem_9902: 8",0
"Al: 1, V: 1, Co: 2","elem_3486: 1, elem_4182: 1, elem_9394: 2",1
"As: 2, Ir: 1","elem_2057: 2, elem_7311: 1",0
"As: 2, O: 3","elem_2057: 2, elem_9902: 3",0
"As: 2, Os: 1","elem_2057: 2, elem_4043: 1",0
"As: 2, Pt: 1","elem_2057: 2, elem_4859: 1",0
"As: 2, Rh: 1","elem_2057: 2, elem_6928: 1",0
"As: 2, Ru: 1","elem_2057: 2, elem_9197: 1",0
"As: 2, S: 3","elem_2057: 2, elem_9062: 3",0
"As: 2, S: 5","elem_2057: 2, elem_9062: 5",0
"As: 2, Se: 3","elem_2057: 2, elem_7611: 3",0
"As: 1, Au: 3","elem_2057: 1, elem_4442: 3",1
"As: 1, Br: 3","elem_2057: 1, elem_1698: 3",0
"As: 1, I: 3","elem_2057: 1, elem_7655: 3",0
"As: 1, Os: 1, S: 1","elem_2057: 1, elem_4043: 1, elem_9062: 1",0
"As: 1, P: 1","elem_2057: 1, elem_4874: 1",0
"As: 1, P: 1, Pd: 1","elem_2057: 1, elem_4874: 1, elem_8322: 1",0
"As: 1, P: 1, Pt: 1","elem_2057: 1, elem_4874: 1, elem_4859: 1",0
"As: 1, P: 1, Ru: 1","elem_2057: 1, elem_4874: 1, elem_9197: 1",0
"As: 1, Pd: 3, Pb: 2","elem_2057: 1, elem_8322: 3, elem_5427: 2",1
"As: 1, Ru: 1, S: 1","elem_2057: 1, elem_9197: 1, elem_9062: 1",0
"As: 1, S: 1","elem_2057: 1, elem_9062: 1",0
"As: 1, S: 3","elem_2057: 1, elem_9062: 3",0
"As: 1, S: 1, I: 1","elem_2057: 1, elem_9062: 1, elem_7655: 1",0
"As: 1, Se: 1, Br: 1","elem_2057: 1, elem_7611: 1, elem_1698: 1",1
"As: 1, Se: 1, I: 1","elem_2057: 1, elem_7611: 1, elem_7655: 1",0
"Au: 3, S: 1","elem_4442: 3, elem_9062: 1",1
"Au: 1, Br: 1, O: 2","elem_4442: 1, elem_1698: 1, elem_9902: 2",1
"B: 2, Mo: 1, Pb: 6, O: 12","elem_8033: 2, elem_3373: 1, elem_5427: 6, elem_9902: 12",0
"B: 2, O: 3","elem_8033: 2, elem_9902: 3",0
"B: 2, Se: 2, O: 7","elem_8033: 2, elem_7611: 2, elem_9902: 7",0
"B: 3, H: 2, Pb: 2, O: 7.5","elem_8033: 3, elem_9158: 2, elem_5427: 2, elem_9902: 7.5",0
"B: 3, Pb: 10, Br: 3, O: 13","elem_8033: 3, elem_5427: 10, elem_1698: 3, elem_9902: 13",0
"B: 3, Pb: 3, N: 1, O: 10","elem_8033: 3, elem_5427: 3, elem_4922: 1, elem_9902: 10",0
"B: 4, C: 1","elem_8033: 4, elem_2375: 1",0
"B: 4, H: 2, Pb: 6, O: 13","elem_8033: 4, elem_9158: 2, elem_5427: 6, elem_9902: 13",0
"B: 4, W: 1","elem_8033: 4, elem_7486: 1",1
"B: 5, Mo: 2","elem_8033: 5, elem_3373: 2",1
"B: 6, As: 1","elem_8033: 6, elem_2057: 1",0
"B: 6, P: 1","elem_8033: 6, elem_4874: 1",0
"B: 1, As: 1","elem_8033: 1, elem_2057: 1",0
"B: 1, H: 1, Pb: 2, O: 4","elem_8033: 1, elem_9158: 1, elem_5427: 2, elem_9902: 4",0
"B: 1, Mo: 1","elem_8033: 1, elem_3373: 1",1
"B: 1, P: 1","elem_8033: 1, elem_4874: 1",0
"B: 1, Pb: 2, Cl: 1, O: 3","elem_8033: 1, elem_5427: 2, elem_7530: 1, elem_9902: 3",0
"B: 1, Pb: 6, Br: 1, O: 7","elem_8033: 1, elem_5427: 6, elem_1698: 1, elem_9902: 7",0
"B: 1, Pb: 7, Br: 3, O: 7","elem_8033: 1, elem_5427: 7, elem_1698: 3, elem_9902: 7",0
"B: 1, Rh: 2","elem_8033: 1, elem_6928: 2",1
"B: 1, Sb: 1","elem_8033: 1, elem_3476: 1",0
"B: 1, Sb: 1, Pb: 1, S: 4","elem_8033: 1, elem_3476: 1, elem_5427: 1, elem_9062: 4",0
"B: 1, Se: 2, Cl: 1","elem_8033: 1, elem_7611: 2, elem_7530: 1",1
"B: 1, Te: 2, As: 1","elem_8033: 1, elem_4345: 2, elem_2057: 1",1
"Ba: 1, As: 2, Pd: 2","elem_3226: 1, elem_2057: 2, elem_8322: 2",1
"Ba: 1, As: 2, Rh: 2","elem_3226: 1, elem_2057: 2, elem_6928: 2",1
"Ba: 1, B: 2, O: 4","elem_3226: 1, elem_8033: 2, elem_9902: 4",0
"Ba: 1, B: 2, Rh: 2","elem_3226: 1, elem_8033: 2, elem_6928: 2",1
"Ba: 1, Fe: 2, S: 4","elem_3226: 1, elem_7694: 2, elem_9062: 4",1
"Ba: 1, Ga: 2, S: 4","elem_3226: 1, elem_6849: 2, elem_9062: 4",0
"Ba: 1, Ga: 2, Se: 4","elem_3226: 1, elem_6849: 2, elem_7611: 4",0
"Ba: 1, In: 2, S: 4","elem_3226: 1, elem_2476: 2, elem_9062: 4",0
"Ba: 1, In: 2, Se: 4","elem_3226: 1, elem_2476: 2, elem_7611: 4",0
"Ba: 1, Ni: 2, P: 4","elem_3226: 1, elem_7611: 2, elem_4874: 4",1
"Ba: 1, Pd: 2, O: 4","elem_3226: 1, elem_8322: 2, elem_9902: 4",1
"Ba: 1, Sn: 4, O: 8","elem_3226: 1, elem_8076: 4, elem_9902: 8",1
"Ba: 1, Zn: 2, As: 2","elem_3226: 1, elem_7038: 2, elem_2057: 2",0
"Ba: 1.88, Ta: 15, O: 32","elem_3226: 1.88, elem_7584: 15, elem_9902: 32",0
"Ba: 12, In: 4, S: 19","elem_3226: 12, elem_2476: 4, elem_9062: 19",0
"Ba: 14, Ir: 8, Pd: 3, O: 33","elem_3226: 14, elem_7311: 8, elem_8322: 3, elem_9902: 33",1
"Ba: 14, Na: 8, Ca: 1, N: 6","elem_3226: 14, elem_8711: 8, elem_9824: 1, elem_4922: 6",1
"Ba: 23, Ga: 8, Sb: 2, S: 38","elem_3226: 23, elem_6849: 8, elem_3476: 2, elem_9062: 38",0
"Ba: 2, B: 4, H: 2, O: 9","elem_3226: 2, elem_8033: 4, elem_9158: 2, elem_9902: 9",0
"Ba: 2, B: 6, H: 4, O: 13","elem_3226: 2, elem_8033: 6, elem_9158: 4, elem_9902: 13",0
"Ba: 2, B: 6, O: 11","elem_3226: 2, elem_8033: 6, elem_9902: 11",0
"Ba: 2, Bi: 1, Sb: 1, O: 6","elem_3226: 2, elem_9183: 1, elem_3476: 1, elem_9902: 6",1
"Ba: 2, Ca: 1, Os: 1, O: 6","elem_3226: 2, elem_9824: 1, elem_4043: 1, elem_9902: 6",1
"Ba: 2, Ca: 1, Re: 1, O: 6","elem_3226: 2, elem_9824: 1, elem_3031: 1, elem_9902: 6",1
"Ba: 2, Cd: 1, B: 6, O: 12","elem_3226: 2, elem_1400: 1, elem_8033: 6, elem_9902: 12",0
"Ba: 2, Ce: 2, O: 5","elem_3226: 2, elem_9646: 2, elem_9902: 5",1
"Ba: 2, Ce: 1, In: 1, Te: 5","elem_3226: 2, elem_9646: 1, elem_2476: 1, elem_4345: 5",0
"Ba: 2, Co: 1, W: 1, O: 6","elem_3226: 2, elem_9394: 1, elem_7486: 1, elem_9902: 6",1
"Ba: 2, Cu: 5, F: 14","elem_3226: 2, elem_1377: 5, elem_6130: 14",1
"Ba: 2, Cu: 1, W: 1, O: 6","elem_3226: 2, elem_1377: 1, elem_7486: 1, elem_9902: 6",1
"Ba: 2, Dy: 1, Cu: 3, O: 7","elem_3226: 2, elem_5122: 1, elem_1377: 3, elem_9902: 7",1
"Ba: 2, Dy: 1, Ga: 1, Se: 5","elem_3226: 2, elem_5122: 1, elem_6849: 1, elem_7611: 5",0
"Ba: 2, Dy: 1, Ga: 1, Te: 5","elem_3226: 2, elem_5122: 1, elem_6849: 1, elem_4345: 5",0
"Ba: 2, Dy: 1, In: 1, Se: 5","elem_3226: 2, elem_5122: 1, elem_2476: 1, elem_7611: 5",0
"Ba: 2, Dy: 1, In: 1, Te: 5","elem_3226: 2, elem_5122: 1, elem_2476: 1, elem_4345: 5",0
"Ba: 2, Er: 1, Ga: 1, Se: 5","elem_3226: 2, elem_1966: 1, elem_6849: 1, elem_7611: 5",0
"Ba: 2, Er: 1, Ga: 1, Te: 5","elem_3226: 2, elem_1966: 1, elem_6849: 1, elem_4345: 5",0
"Ba: 2, Er: 1, In: 1, Se: 5","elem_3226: 2, elem_1966: 1, elem_2476: 1, elem_7611: 5",0
"Ba: 2, Er: 1, In: 1, Te: 5","elem_3226: 2, elem_1966: 1, elem_2476: 1, elem_4345: 5",0
"Ba: 2, Fe: 1, Mo: 1, O: 6","elem_3226: 2, elem_7694: 1, elem_3373: 1, elem_9902: 6",1
"Ba: 2, Fe: 1, Re: 1, O: 6","elem_3226: 2, elem_7694: 1, elem_3031: 1, elem_9902: 6",1
"Ba: 2, Ga: 8, Ge: 1, S: 16","elem_3226: 2, elem_6849: 8, elem_6419: 1, elem_9062: 16",0
"Ba: 2, Ga: 8, Si: 1, S: 16","elem_3226: 2, elem_6849: 8, elem_1995: 1, elem_9062: 16",0
"Ba: 2, Ga: 1, As: 1, Se: 5","elem_3226: 2, elem_6849: 1, elem_2057: 1, elem_7611: 5",0
"Ba: 2, Ga: 1, Bi: 1, S: 5","elem_3226: 2, elem_6849: 1, elem_9183: 1, elem_9062: 5",0
"Ba: 2, Ga: 1, Bi: 1, Se: 5","elem_3226: 2, elem_6849: 1, elem_9183: 1, elem_7611: 5",0
"Ba: 2, Ga: 1, Bi: 1, Te: 5","elem_3226: 2, elem_6849: 1, elem_9183: 1, elem_4345: 5",0
"Ba: 2, Ga: 1, S: 4","elem_3226: 2, elem_6849: 1, elem_9062: 4",0
"Ba: 2, Ga: 1, Sb: 1, Se: 5","elem_3226: 2, elem_6849: 1, elem_3476: 1, elem_7611: 5",0
"Ba: 2, Ga: 1, Sb: 1, Te: 5","elem_3226: 2, elem_6849: 1, elem_3476: 1, elem_4345: 5",0
"Ba: 2, Ga: 1, Se: 4","elem_3226: 2, elem_6849: 1, elem_7611: 4",0
"Ba: 2, Gd: 1, Ga: 1, Se: 5","elem_3226: 2, elem_7691: 1, elem_6849: 1, elem_7611: 5",0
"Ba: 2, Gd: 1, Ga: 1, Te: 5","elem_3226: 2, elem_7691: 1, elem_6849: 1, elem_4345: 5",0
"Ba: 2, Gd: 1, In: 1, Se: 5","elem_3226: 2, elem_7691: 1, elem_2476: 1, elem_7611: 5",0
"Ba: 2, Gd: 1, In: 1, Te: 5","elem_3226: 2, elem_7691: 1, elem_2476: 1, elem_4345: 5",0
"Ba: 2, Hg: 1, S: 5","elem_3226: 2, elem_7286: 1, elem_9062: 5",0
"Ba: 2, In: 2, S: 5","elem_3226: 2, elem_2476: 2, elem_9062: 5",0
"Ba: 2, In: 2, Se: 5","elem_3226: 2, elem_2476: 2, elem_7611: 5",0
"Ba: 2, In: 1, Ag: 1, S: 4","elem_3226: 2, elem_2476: 1, elem_3063: 1, elem_9062: 4",0
"Ba: 2, In: 1, Bi: 1, S: 5","elem_3226: 2, elem_2476: 1, elem_9183: 1, elem_9062: 5",0
"Ba: 2, In: 1, Sb: 1, Se: 5","elem_3226: 2, elem_2476: 1, elem_3476: 1, elem_7611: 5",0
"Ba: 2, La: 1, Ir: 1, O: 6","elem_3226: 2, elem_3721: 1, elem_7311: 1, elem_9902: 6",1
"Ba: 2, Li: 1, Fe: 2, N: 3","elem_3226: 2, elem_7346: 1, elem_7694: 2, elem_4922: 3",1
"Ba: 2, Na: 1, Cu: 3, S: 5","elem_3226: 2, elem_8711: 1, elem_1377: 3, elem_9062: 5",0
"Ba: 2, Nd: 1, Ga: 1, S: 5","elem_3226: 2, elem_2768: 1, elem_6849: 1, elem_9062: 5",0
"Ba: 2, Nd: 1, Ga: 1, Se: 5","elem_3226: 2, elem_2768: 1, elem_6849: 1, elem_7611: 5",0
"Ba: 2, Nd: 1, In: 1, Se: 5","elem_3226: 2, elem_2768: 1, elem_2476: 1, elem_7611: 5",0
"Ba: 2, Nd: 1, In: 1, Te: 5","elem_3226: 2, elem_2768: 1, elem_2476: 1, elem_4345: 5",0
"Ba: 2, Re: 1, Ni: 1, O: 6","elem_3226: 2, elem_3031: 1, elem_7611: 1, elem_9902: 6",1
"Ba: 2, Sb: 7, H: 1, O: 14","elem_3226: 2, elem_3476: 7, elem_9158: 1, elem_9902: 14",0
"Ba: 2, Sc: 1, Ir: 1, O: 6","elem_3226: 2, elem_1684: 1, elem_7311: 1, elem_9902: 6",1
"Ba: 2, Sc: 1, Ta: 1, O: 6","elem_3226: 2, elem_1684: 1, elem_7584: 1, elem_9902: 6",0
"Ba: 2, Sm: 1, Cu: 3, O: 7","elem_3226: 2, elem_8818: 1, elem_1377: 3, elem_9902: 7",1
"Ba: 2, Sm: 1, Ga: 1, Se: 5","elem_3226: 2, elem_8818: 1, elem_6849: 1, elem_7611: 5",0
"Ba: 2, Sm: 1, Ga: 1, Te: 5","elem_3226: 2, elem_8818: 1, elem_6849: 1, elem_4345: 5",0
"Ba: 2, Sm: 1, In: 1, Se: 5","elem_3226: 2, elem_8818: 1, elem_2476: 1, elem_7611: 5",0
"Ba: 2, Sm: 1, In: 1, Te: 5","elem_3226: 2, elem_8818: 1, elem_2476: 1, elem_4345: 5",0
"Ba: 2, Sm: 1, Ta: 1, O: 6","elem_3226: 2, elem_8818: 1, elem_7584: 1, elem_9902: 6",0
"Ba: 2, Sn: 1, Se: 4","elem_3226: 2, elem_8076: 1, elem_7611: 4",0
"Ba: 2, Sn: 1, Se: 5","elem_3226: 2, elem_8076: 1, elem_7611: 5",0
"Ba: 2, Ta: 1, In: 1, O: 6","elem_3226: 2, elem_7584: 1, elem_2476: 1, elem_9902: 6",0
"Ba: 2, Tb: 1, Ir: 1, O: 6","elem_3226: 2, elem_9043: 1, elem_7311: 1, elem_9902: 6",1
"Ba: 2, Th: 1, Cu: 2, Se: 5","elem_3226: 2, elem_3982: 1, elem_1377: 2, elem_7611: 5",0
"Ba: 2, U: 1, Cu: 1, O: 6","elem_3226: 2, elem_8131: 1, elem_1377: 1, elem_9902: 6",1
"Ba: 2, V: 2, Te: 2, O: 11","elem_3226: 2, elem_4182: 2, elem_4345: 2, elem_9902: 11",0
"Ba: 2, V: 2, Zn: 1, O: 8","elem_3226: 2, elem_4182: 2, elem_7038: 1, elem_9902: 8",0
"Ba: 2, V: 4, Te: 3, O: 18","elem_3226: 2, elem_4182: 4, elem_4345: 3, elem_9902: 18",0
"Ba: 2, Y: 1, Ga: 1, Se: 5","elem_3226: 2, elem_3272: 1, elem_6849: 1, elem_7611: 5",0
