text_name,text_anon,label
Protein A: MRPL36 ; Protein B: MRPL13,Protein A: PROT_0531 ; Protein B: PROT_3203,1
Protein A: RPL37 ; Protein B: CD4,Protein A: PROT_3084 ; Protein B: PROT_2555,0
Protein A: NID2 ; Protein B: LAMC1,Protein A: PROT_2989 ; Protein B: PROT_1227,1
Protein A: EPS15 ; Protein B: CRK,Protein A: PROT_1281 ; Protein B: PROT_0409,1
Protein A: UQCRC2 ; Protein B: NT5C1B,Protein A: PROT_1817 ; Protein B: PROT_2447,0
Protein A: RPLP2 ; Protein B: GALC,Protein A: PROT_1502 ; Protein B: PROT_2623,0
Protein A: ALDH6A1 ; Protein B: ACOX3,Protein A: PROT_2502 ; Protein B: PROT_0406,1
Protein A: DRD4 ; Protein B: COMT,Protein A: PROT_0538 ; Protein B: PROT_1299,1
Protein A: AOC3 ; Protein B: RAC1,Protein A: PROT_1610 ; Protein B: PROT_3082,0
Protein A: CEP290 ; Protein B: NOP58,Protein A: PROT_2559 ; Protein B: PROT_0720,0
Protein A: CLTC ; Protein B: RBBP7,Protein A: PROT_0994 ; Protein B: PROT_0050,0
Protein A: SLC6A4 ; Protein B: PIK3C2A,Protein A: PROT_1485 ; Protein B: PROT_3434,0
Protein A: RPN2 ; Protein B: ERCC5,Protein A: PROT_0446 ; Protein B: PROT_1835,0
Protein A: HMG20B ; Protein B: RPS29,Protein A: PROT_0173 ; Protein B: PROT_0602,0
Protein A: TBP ; Protein B: H3C4,Protein A: PROT_2097 ; Protein B: PROT_1185,0
Protein A: INTS7 ; Protein B: SUPT5H,Protein A: PROT_0837 ; Protein B: PROT_0107,1
Protein A: NOS3 ; Protein B: PLCG1,Protein A: PROT_2804 ; Protein B: PROT_2459,1
Protein A: MGAT5 ; Protein B: MGAT3,Protein A: PROT_0036 ; Protein B: PROT_0987,1
Protein A: VPS4B ; Protein B: BBS1,Protein A: PROT_3403 ; Protein B: PROT_0337,0
Protein A: BORCS8 ; Protein B: BLOC1S2,Protein A: PROT_2759 ; Protein B: PROT_2467,1
Protein A: MRPL44 ; Protein B: WDR31,Protein A: PROT_1410 ; Protein B: PROT_1116,0
Protein A: SRRM2 ; Protein B: WBP4,Protein A: PROT_0289 ; Protein B: PROT_0574,1
Protein A: EGF ; Protein B: MYL3,Protein A: PROT_0827 ; Protein B: PROT_2525,0
Protein A: KDM6A ; Protein B: ASH2L,Protein A: PROT_1834 ; Protein B: PROT_3265,1
Protein A: GTF3C3 ; Protein B: GTF3C4,Protein A: PROT_1601 ; Protein B: PROT_3014,1
Protein A: TRAF6 ; Protein B: BECN1,Protein A: PROT_2973 ; Protein B: PROT_1155,1
Protein A: TNF ; Protein B: TRADD,Protein A: PROT_1960 ; Protein B: PROT_1108,1
Protein A: QKI ; Protein B: MED27,Protein A: PROT_0198 ; Protein B: PROT_1481,1
Protein A: UBXN2A ; Protein B: IMP3,Protein A: PROT_3398 ; Protein B: PROT_0752,0
Protein A: POLR2K ; Protein B: MCM2,Protein A: PROT_3145 ; Protein B: PROT_2066,0
Protein A: RPL17 ; Protein B: SRP68,Protein A: PROT_0739 ; Protein B: PROT_2164,1
Protein A: CD200R1 ; Protein B: MTO1,Protein A: PROT_1900 ; Protein B: PROT_1084,0
Protein A: ANAPC10 ; Protein B: PRNP,Protein A: PROT_2552 ; Protein B: PROT_1597,0
Protein A: UPF3A ; Protein B: UPF2,Protein A: PROT_3135 ; Protein B: PROT_1899,1
Protein A: RPL18A ; Protein B: CCT5,Protein A: PROT_2292 ; Protein B: PROT_1684,0
Protein A: SYNJ1 ; Protein B: DOCK4,Protein A: PROT_1052 ; Protein B: PROT_1789,0
Protein A: PDGFB ; Protein B: APPBP2,Protein A: PROT_0510 ; Protein B: PROT_2353,0
Protein A: UAP1 ; Protein B: RPL27A,Protein A: PROT_0012 ; Protein B: PROT_2536,0
Protein A: RPS9 ; Protein B: EEF1A1,Protein A: PROT_0643 ; Protein B: PROT_0583,1
Protein A: TAB1 ; Protein B: GP6,Protein A: PROT_0124 ; Protein B: PROT_3054,0
Protein A: RPS25 ; Protein B: RPS20,Protein A: PROT_2711 ; Protein B: PROT_3101,1
Protein A: NOP14 ; Protein B: ACSF3,Protein A: PROT_0964 ; Protein B: PROT_2762,0
Protein A: PPARG ; Protein B: RPS15,Protein A: PROT_0612 ; Protein B: PROT_3457,0
Protein A: YJU2 ; Protein B: SNRPB2,Protein A: PROT_3098 ; Protein B: PROT_1609,1
Protein A: RPL7A ; Protein B: H2AC4,Protein A: PROT_0383 ; Protein B: PROT_2046,0
Protein A: GSTO1 ; Protein B: RPS27,Protein A: PROT_3249 ; Protein B: PROT_1704,0
Protein A: IFNAR2 ; Protein B: SMARCA4,Protein A: PROT_2999 ; Protein B: PROT_0308,0
Protein A: IMP3 ; Protein B: MRPL4,Protein A: PROT_0752 ; Protein B: PROT_0689,1
Protein A: NDUFB10 ; Protein B: GABARAP,Protein A: PROT_3011 ; Protein B: PROT_0023,0
Protein A: SNRPD1 ; Protein B: DHX38,Protein A: PROT_1068 ; Protein B: PROT_1778,1
Protein A: DUSP5 ; Protein B: AP5S1,Protein A: PROT_1742 ; Protein B: PROT_3094,0
Protein A: AADAT ; Protein B: ALDH7A1,Protein A: PROT_0654 ; Protein B: PROT_0433,1
Protein A: MRPL36 ; Protein B: EFL1,Protein A: PROT_0531 ; Protein B: PROT_3096,1
Protein A: AIM2 ; Protein B: CASP5,Protein A: PROT_3227 ; Protein B: PROT_2870,1
Protein A: NNMT ; Protein B: PNP,Protein A: PROT_0270 ; Protein B: PROT_0768,1
Protein A: PGGHG ; Protein B: PUDP,Protein A: PROT_1321 ; Protein B: PROT_2272,1
Protein A: POLR2C ; Protein B: CALM1,Protein A: PROT_3281 ; Protein B: PROT_1127,0
Protein A: VPS37D ; Protein B: VPS25,Protein A: PROT_2650 ; Protein B: PROT_2557,1
Protein A: CCL20 ; Protein B: ACKR4,Protein A: PROT_2823 ; Protein B: PROT_1608,1
Protein A: GRK5 ; Protein B: ARRB1,Protein A: PROT_2297 ; Protein B: PROT_0988,1
Protein A: IGKV1D-33 ; Protein B: RPS15,Protein A: PROT_0284 ; Protein B: PROT_3457,0
Protein A: DISC1 ; Protein B: FBXW7,Protein A: PROT_1727 ; Protein B: PROT_1809,1
Protein A: SEMA4B ; Protein B: BTBD9,Protein A: PROT_0244 ; Protein B: PROT_0111,0
Protein A: KLC3 ; Protein B: CSF3,Protein A: PROT_0461 ; Protein B: PROT_2367,0
Protein A: SCNM1 ; Protein B: SF3B2,Protein A: PROT_3343 ; Protein B: PROT_2118,1
Protein A: EIF4EBP3 ; Protein B: EIF4A1,Protein A: PROT_2657 ; Protein B: PROT_0800,1
Protein A: CDK2 ; Protein B: RPL19,Protein A: PROT_1570 ; Protein B: PROT_1411,0
Protein A: CRKL ; Protein B: H3-4,Protein A: PROT_2767 ; Protein B: PROT_0693,0
Protein A: ZER1 ; Protein B: SKP2,Protein A: PROT_2546 ; Protein B: PROT_0357,0
Protein A: CYP24A1 ; Protein B: POLR2G,Protein A: PROT_2365 ; Protein B: PROT_2014,0
Protein A: NAMPT ; Protein B: RNF113A,Protein A: PROT_1686 ; Protein B: PROT_1257,0
Protein A: MRPL20 ; Protein B: MRPS2,Protein A: PROT_0893 ; Protein B: PROT_0678,1
Protein A: NDUFV1 ; Protein B: MT-CYB,Protein A: PROT_2960 ; Protein B: PROT_0627,1
Protein A: DDX23 ; Protein B: SNU13,Protein A: PROT_1890 ; Protein B: PROT_1844,1
Protein A: EIF1AX ; Protein B: MRPL46,Protein A: PROT_3437 ; Protein B: PROT_0776,0
Protein A: PNP ; Protein B: EPHX2,Protein A: PROT_0768 ; Protein B: PROT_0360,1
Protein A: MFAP2 ; Protein B: FBN2,Protein A: PROT_2424 ; Protein B: PROT_2619,1
Protein A: RANGRF ; Protein B: PRKACG,Protein A: PROT_0373 ; Protein B: PROT_1409,0
Protein A: ANAPC4 ; Protein B: STX8,Protein A: PROT_3268 ; Protein B: PROT_0174,0
Protein A: BTD ; Protein B: HLCS,Protein A: PROT_1031 ; Protein B: PROT_2413,1
Protein A: CRP ; Protein B: HP,Protein A: PROT_2874 ; Protein B: PROT_1806,1
Protein A: NOP2 ; Protein B: NAT10,Protein A: PROT_1274 ; Protein B: PROT_1588,1
Protein A: SLX4 ; Protein B: MUS81,Protein A: PROT_1141 ; Protein B: PROT_2075,1
Protein A: BDKRB1 ; Protein B: MRGBP,Protein A: PROT_1801 ; Protein B: PROT_3337,0
Protein A: HSD3B2 ; Protein B: FAU,Protein A: PROT_0276 ; Protein B: PROT_1797,1
Protein A: RPS14 ; Protein B: XRCC3,Protein A: PROT_2696 ; Protein B: PROT_1692,0
Protein A: RSL24D1 ; Protein B: WNT6,Protein A: PROT_3369 ; Protein B: PROT_1567,0
Protein A: NDC80 ; Protein B: SKA3,Protein A: PROT_2049 ; Protein B: PROT_1270,1
Protein A: DYNC1H1 ; Protein B: NUDCD3,Protein A: PROT_1807 ; Protein B: PROT_1010,1
Protein A: EFTUD2 ; Protein B: SNRNP200,Protein A: PROT_1550 ; Protein B: PROT_1846,1
Protein A: EIF4EBP1 ; Protein B: RPS6KB1,Protein A: PROT_0142 ; Protein B: PROT_1232,1
Protein A: COX5A ; Protein B: RANBP2,Protein A: PROT_2096 ; Protein B: PROT_0122,0
Protein A: AGT ; Protein B: F2R,Protein A: PROT_2126 ; Protein B: PROT_3456,1
Protein A: RPL23A ; Protein B: EEFSEC,Protein A: PROT_0292 ; Protein B: PROT_2468,1
Protein A: MRPL10 ; Protein B: RPS15,Protein A: PROT_2962 ; Protein B: PROT_3457,0
Protein A: TRAF6 ; Protein B: RAPGEF1,Protein A: PROT_2973 ; Protein B: PROT_2563,0
Protein A: CD46 ; Protein B: PLD2,Protein A: PROT_2199 ; Protein B: PROT_0484,0
Protein A: MEF2A ; Protein B: MAPK14,Protein A: PROT_3031 ; Protein B: PROT_1543,1
Protein A: RPL36A ; Protein B: BTF3,Protein A: PROT_0951 ; Protein B: PROT_0813,1
Protein A: CDC25C ; Protein B: NUP54,Protein A: PROT_2495 ; Protein B: PROT_0432,0
Protein A: PPP1R26 ; Protein B: MRPL43,Protein A: PROT_1788 ; Protein B: PROT_1722,1
Protein A: STAT5B ; Protein B: GHR,Protein A: PROT_1179 ; Protein B: PROT_0634,1
Protein A: MT-ND3 ; Protein B: NDUFB1,Protein A: PROT_0008 ; Protein B: PROT_1036,1
Protein A: NDUFV2 ; Protein B: MT-ND2,Protein A: PROT_3033 ; Protein B: PROT_1986,1
Protein A: RPL38 ; Protein B: PRPF31,Protein A: PROT_3324 ; Protein B: PROT_2553,0
Protein A: HDAC2 ; Protein B: CHD5,Protein A: PROT_0844 ; Protein B: PROT_2741,1
Protein A: BCL2 ; Protein B: CASP8,Protein A: PROT_0153 ; Protein B: PROT_0982,1
Protein A: PPARG ; Protein B: PIAS4,Protein A: PROT_0612 ; Protein B: PROT_3448,0
Protein A: COL4A6 ; Protein B: CD44,Protein A: PROT_1319 ; Protein B: PROT_1569,1
Protein A: H2BC3 ; Protein B: CEP170,Protein A: PROT_0021 ; Protein B: PROT_1629,0
Protein A: RPS11 ; Protein B: PYGL,Protein A: PROT_2141 ; Protein B: PROT_2796,0
Protein A: GCLM ; Protein B: NFE2L2,Protein A: PROT_0110 ; Protein B: PROT_0774,1
Protein A: SMARCB1 ; Protein B: MYC,Protein A: PROT_0872 ; Protein B: PROT_2826,1
Protein A: WRN ; Protein B: RAD51,Protein A: PROT_2405 ; Protein B: PROT_2428,1
Protein A: EP300 ; Protein B: HIP1R,Protein A: PROT_0917 ; Protein B: PROT_2707,0
Protein A: CCN2 ; Protein B: DCN,Protein A: PROT_1115 ; Protein B: PROT_3099,1
Protein A: NDUFS7 ; Protein B: ATRX,Protein A: PROT_1979 ; Protein B: PROT_2624,0
Protein A: PLCD4 ; Protein B: DYNLL2,Protein A: PROT_2833 ; Protein B: PROT_2163,0
Protein A: FGFR2 ; Protein B: NRAS,Protein A: PROT_0497 ; Protein B: PROT_0495,1
Protein A: CCND1 ; Protein B: AR,Protein A: PROT_2946 ; Protein B: PROT_0939,1
Protein A: NDUFA6 ; Protein B: COX6A2,Protein A: PROT_2927 ; Protein B: PROT_0796,1
Protein A: P4HA2 ; Protein B: P4HA1,Protein A: PROT_0740 ; Protein B: PROT_1360,1
Protein A: TNNT2 ; Protein B: MYH6,Protein A: PROT_1138 ; Protein B: PROT_1620,1
Protein A: STX18 ; Protein B: MAP4K1,Protein A: PROT_1486 ; Protein B: PROT_0759,0
Protein A: KNTC1 ; Protein B: RPS6KA4,Protein A: PROT_0688 ; Protein B: PROT_3041,0
Protein A: LAP3 ; Protein B: CNOT4,Protein A: PROT_2728 ; Protein B: PROT_2680,0
Protein A: MRPS30 ; Protein B: PIK3C2A,Protein A: PROT_2956 ; Protein B: PROT_3434,0
Protein A: SNRNP27 ; Protein B: NDUFV1,Protein A: PROT_1101 ; Protein B: PROT_2960,0
Protein A: BTN1A1 ; Protein B: PSMC4,Protein A: PROT_0071 ; Protein B: PROT_0401,0
Protein A: RPS17 ; Protein B: MRPS15,Protein A: PROT_2364 ; Protein B: PROT_3296,1
Protein A: HSPB1 ; Protein B: WARS1,Protein A: PROT_2283 ; Protein B: PROT_1097,0
Protein A: SEMA3B ; Protein B: PLXNA3,Protein A: PROT_3303 ; Protein B: PROT_3250,1
Protein A: RPL3L ; Protein B: RPL34,Protein A: PROT_1560 ; Protein B: PROT_2542,1
Protein A: SEC61A2 ; Protein B: H3C11,Protein A: PROT_2676 ; Protein B: PROT_1804,0
Protein A: ITGAL ; Protein B: RPS7,Protein A: PROT_1772 ; Protein B: PROT_2669,0
Protein A: H4-16 ; Protein B: H2AC13,Protein A: PROT_0833 ; Protein B: PROT_0300,1
Protein A: SSRP1 ; Protein B: H3C3,Protein A: PROT_3205 ; Protein B: PROT_2266,1
Protein A: ANXA2 ; Protein B: ANXA2R,Protein A: PROT_2139 ; Protein B: PROT_2991,1
Protein A: CUL2 ; Protein B: DCP2,Protein A: PROT_2709 ; Protein B: PROT_0953,0
Protein A: ATG14 ; Protein B: SNAPIN,Protein A: PROT_2882 ; Protein B: PROT_1720,1
Protein A: USO1 ; Protein B: GORASP1,Protein A: PROT_1998 ; Protein B: PROT_0674,1
Protein A: CRYBB2 ; Protein B: CRYAB,Protein A: PROT_2221 ; Protein B: PROT_0746,1
Protein A: CAV3 ; Protein B: H3C1,Protein A: PROT_1860 ; Protein B: PROT_3371,0
Protein A: MBOAT2 ; Protein B: HTRA2,Protein A: PROT_0024 ; Protein B: PROT_3060,0
Protein A: CDK7 ; Protein B: TAF12,Protein A: PROT_1497 ; Protein B: PROT_3075,1
Protein A: H3-3B ; Protein B: MRPS35,Protein A: PROT_1436 ; Protein B: PROT_2296,0
Protein A: H3C15 ; Protein B: TRIM66,Protein A: PROT_2117 ; Protein B: PROT_2059,1
Protein A: TLN1 ; Protein B: ITGB2,Protein A: PROT_1739 ; Protein B: PROT_1977,1
Protein A: TAF8 ; Protein B: RUVBL1,Protein A: PROT_0223 ; Protein B: PROT_3219,0
Protein A: LPAR2 ; Protein B: NOP58,Protein A: PROT_0131 ; Protein B: PROT_0720,0
Protein A: PCGF1 ; Protein B: MT-ND2,Protein A: PROT_0897 ; Protein B: PROT_1986,0
Protein A: STXBP1 ; Protein B: GAL,Protein A: PROT_3333 ; Protein B: PROT_1183,0
Protein A: MRPL2 ; Protein B: DYRK1A,Protein A: PROT_2069 ; Protein B: PROT_0550,0
Protein A: YTHDC2 ; Protein B: ALKBH5,Protein A: PROT_3052 ; Protein B: PROT_3092,1
Protein A: IL2RA ; Protein B: IL15,Protein A: PROT_2916 ; Protein B: PROT_1625,1
Protein A: NTRK3 ; Protein B: CRP,Protein A: PROT_2477 ; Protein B: PROT_2874,0
Protein A: GTF2B ; Protein B: TBPL2,Protein A: PROT_1618 ; Protein B: PROT_1528,1
Protein A: ATP6V0D2 ; Protein B: ACTA1,Protein A: PROT_2654 ; Protein B: PROT_2289,0
Protein A: RPS9 ; Protein B: RPS15A,Protein A: PROT_0643 ; Protein B: PROT_0034,1
Protein A: RPN1 ; Protein B: RPS6,Protein A: PROT_1591 ; Protein B: PROT_0734,0
Protein A: RPS12 ; Protein B: FRS2,Protein A: PROT_2877 ; Protein B: PROT_3276,0
Protein A: MLLT1 ; Protein B: H3C14,Protein A: PROT_0822 ; Protein B: PROT_1030,1
Protein A: RPL26 ; Protein B: GIMAP4,Protein A: PROT_3409 ; Protein B: PROT_0983,0
Protein A: CNDP1 ; Protein B: PRKCD,Protein A: PROT_3418 ; Protein B: PROT_1680,0
Protein A: DYNC2H1 ; Protein B: DYNC1LI2,Protein A: PROT_1928 ; Protein B: PROT_1723,1
Protein A: DVL1 ; Protein B: WNT5A,Protein A: PROT_2162 ; Protein B: PROT_2931,1
Protein A: ZP3 ; Protein B: ZP4,Protein A: PROT_0763 ; Protein B: PROT_3424,1
Protein A: MT-ND3 ; Protein B: H2AC17,Protein A: PROT_0008 ; Protein B: PROT_1154,0
Protein A: APEX1 ; Protein B: TDP1,Protein A: PROT_0968 ; Protein B: PROT_0664,1
Protein A: H3-4 ; Protein B: HSPE1,Protein A: PROT_0693 ; Protein B: PROT_2754,0
Protein A: EML4 ; Protein B: ARRB2,Protein A: PROT_3451 ; Protein B: PROT_2892,0
Protein A: RPL6 ; Protein B: CCDC114,Protein A: PROT_2228 ; Protein B: PROT_2095,0
Protein A: RPS12 ; Protein B: MED11,Protein A: PROT_2877 ; Protein B: PROT_1461,0
Protein A: PRKAA2 ; Protein B: PRKACG,Protein A: PROT_3190 ; Protein B: PROT_1409,1
Protein A: MRPS7 ; Protein B: FABP4,Protein A: PROT_2868 ; Protein B: PROT_1649,0
Protein A: CYP1A2 ; Protein B: KAT5,Protein A: PROT_1488 ; Protein B: PROT_2950,0
Protein A: EIF3A ; Protein B: RYR1,Protein A: PROT_1514 ; Protein B: PROT_0355,0
Protein A: BCL7A ; Protein B: TAF10,Protein A: PROT_3132 ; Protein B: PROT_1656,0
Protein A: CXCL12 ; Protein B: CCL21,Protein A: PROT_3345 ; Protein B: PROT_1286,1
Protein A: BUD13 ; Protein B: VPS16,Protein A: PROT_0855 ; Protein B: PROT_0941,0
Protein A: CDK2 ; Protein B: CDC20,Protein A: PROT_1570 ; Protein B: PROT_1664,1
Protein A: PHF19 ; Protein B: MRPL3,Protein A: PROT_1925 ; Protein B: PROT_2085,0
Protein A: SNRNP27 ; Protein B: NDUFAF2,Protein A: PROT_1101 ; Protein B: PROT_1564,0
Protein A: DVL2 ; Protein B: LCLAT1,Protein A: PROT_2662 ; Protein B: PROT_2206,0
Protein A: EFNB1 ; Protein B: EFNB3,Protein A: PROT_0003 ; Protein B: PROT_3146,1
Protein A: IL1A ; Protein B: CCL5,Protein A: PROT_3294 ; Protein B: PROT_0703,1
Protein A: ABT1 ; Protein B: IRS1,Protein A: PROT_1250 ; Protein B: PROT_0470,0
Protein A: TMED9 ; Protein B: GLI1,Protein A: PROT_2818 ; Protein B: PROT_0610,0
Protein A: CANT1 ; Protein B: MRPL11,Protein A: PROT_1448 ; Protein B: PROT_0221,0
Protein A: TRAPPC5 ; Protein B: TRAPPC4,Protein A: PROT_1291 ; Protein B: PROT_2382,1
Protein A: H2AC1 ; Protein B: H4C14,Protein A: PROT_0700 ; Protein B: PROT_2582,1
Protein A: ELL3 ; Protein B: NELFB,Protein A: PROT_2544 ; Protein B: PROT_1067,1
Protein A: TP53 ; Protein B: MUC1,Protein A: PROT_1150 ; Protein B: PROT_0891,1
Protein A: RHOT2 ; Protein B: MFN2,Protein A: PROT_3061 ; Protein B: PROT_3148,1
Protein A: FOXJ1 ; Protein B: CAMK1,Protein A: PROT_2994 ; Protein B: PROT_1426,0
Protein A: UQCRQ ; Protein B: IFNGR2,Protein A: PROT_2634 ; Protein B: PROT_0318,1
Protein A: POLR3A ; Protein B: MRPS11,Protein A: PROT_2230 ; Protein B: PROT_2738,0
Protein A: CYP2J2 ; Protein B: ALOX12B,Protein A: PROT_2788 ; Protein B: PROT_1492,1
Protein A: CSAG1 ; Protein B: MAGEA12,Protein A: PROT_2240 ; Protein B: PROT_1984,1
Protein A: EGF ; Protein B: PDGFRA,Protein A: PROT_0827 ; Protein B: PROT_2736,1
Protein A: RPL28 ; Protein B: DYNC1I2,Protein A: PROT_0890 ; Protein B: PROT_0171,0
Protein A: NME4 ; Protein B: RPL15,Protein A: PROT_1906 ; Protein B: PROT_0007,0
Protein A: RPS10 ; Protein B: RPL39,Protein A: PROT_2698 ; Protein B: PROT_3194,1
Protein A: FTCD ; Protein B: H3C6,Protein A: PROT_2469 ; Protein B: PROT_0047,0
Protein A: LCAT ; Protein B: TLE1,Protein A: PROT_2554 ; Protein B: PROT_2480,0
Protein A: PDE3A ; Protein B: APRT,Protein A: PROT_2349 ; Protein B: PROT_1301,1
Protein A: BRCC3 ; Protein B: ACOX3,Protein A: PROT_2713 ; Protein B: PROT_0406,0
Protein A: SGO2 ; Protein B: SMC3,Protein A: PROT_0451 ; Protein B: PROT_0140,1
Protein A: CD40 ; Protein B: ZC3H8,Protein A: PROT_1126 ; Protein B: PROT_0838,0
Protein A: RPLP2 ; Protein B: RPL11,Protein A: PROT_1502 ; Protein B: PROT_0169,1
Protein A: MYLPF ; Protein B: HSPA9,Protein A: PROT_2208 ; Protein B: PROT_3201,0
Protein A: NCAPG ; Protein B: KIF23,Protein A: PROT_0722 ; Protein B: PROT_0435,1
Protein A: YWHAB ; Protein B: TSC2,Protein A: PROT_1213 ; Protein B: PROT_0681,1
Protein A: RPS27 ; Protein B: MKNK1,Protein A: PROT_1704 ; Protein B: PROT_1939,0
Protein A: ACTR3C ; Protein B: RAPGEF2,Protein A: PROT_2436 ; Protein B: PROT_1133,0
Protein A: SLC25A4 ; Protein B: TWNK,Protein A: PROT_0116 ; Protein B: PROT_0120,1
Protein A: PFKM ; Protein B: YTHDF3,Protein A: PROT_0066 ; Protein B: PROT_3226,0
Protein A: RPL4 ; Protein B: EXOSC5,Protein A: PROT_1613 ; Protein B: PROT_1660,0
Protein A: SLC5A2 ; Protein B: DPP4,Protein A: PROT_1703 ; Protein B: PROT_2113,1
Protein A: ATP6V1G3 ; Protein B: ATP6V1D,Protein A: PROT_1400 ; Protein B: PROT_0782,1
Protein A: NOS3 ; Protein B: OTC,Protein A: PROT_2804 ; Protein B: PROT_0462,1
Protein A: FPR1 ; Protein B: FPR3,Protein A: PROT_1190 ; Protein B: PROT_2541,1
Protein A: ATPAF2 ; Protein B: RAB11FIP1,Protein A: PROT_0729 ; Protein B: PROT_1879,0
Protein A: RBBP7 ; Protein B: HDAC2,Protein A: PROT_0050 ; Protein B: PROT_0844,1
Protein A: ERCC4 ; Protein B: ERCC1,Protein A: PROT_2147 ; Protein B: PROT_0009,1
Protein A: PNP ; Protein B: NT5M,Protein A: PROT_0768 ; Protein B: PROT_2008,1
Protein A: DDOST ; Protein B: RPN1,Protein A: PROT_0335 ; Protein B: PROT_1591,1
Protein A: PTPN11 ; Protein B: SLBP,Protein A: PROT_2137 ; Protein B: PROT_0829,0
Protein A: TRDN ; Protein B: CALM3,Protein A: PROT_0916 ; Protein B: PROT_2689,1
Protein A: AAAS ; Protein B: NUP62,Protein A: PROT_3286 ; Protein B: PROT_1555,1
Protein A: TGFBR1 ; Protein B: TNFRSF13C,Protein A: PROT_2817 ; Protein B: PROT_2655,0
Protein A: ADRA1A ; Protein B: CHD4,Protein A: PROT_2814 ; Protein B: PROT_1581,0
Protein A: ICE2 ; Protein B: EAF2,Protein A: PROT_1728 ; Protein B: PROT_0816,1
Protein A: DNAJB14 ; Protein B: HSPA8,Protein A: PROT_2427 ; Protein B: PROT_2585,1
Protein A: DCN ; Protein B: MYBL2,Protein A: PROT_3099 ; Protein B: PROT_0274,0
Protein A: WDR36 ; Protein B: DCAF13,Protein A: PROT_1413 ; Protein B: PROT_0045,1
Protein A: H2BC10 ; Protein B: GHRH,Protein A: PROT_2529 ; Protein B: PROT_2602,0
Protein A: NME4 ; Protein B: NME3,Protein A: PROT_1906 ; Protein B: PROT_0166,1
Protein A: CCNT2 ; Protein B: NOC4L,Protein A: PROT_0380 ; Protein B: PROT_2898,0
