formula,anon,label
"Al: 13, Ni: 6, Mo: 1","el_3486: 13, el_7611: 6, el_3373: 1",1
"Al: 13, Si: 4, Ni: 3","el_3486: 13, el_1995: 4, el_7611: 3",1
"Al: 13, V: 2, Cu: 5","el_3486: 13, el_4182: 2, el_1377: 5",1
"Al: 13, V: 2, Ge: 5","el_3486: 13, el_4182: 2, el_6419: 5",1
"Al: 13, V: 3, Cu: 4","el_3486: 13, el_4182: 3, el_1377: 4",1
"Al: 13, V: 3, Ge: 4","el_3486: 13, el_4182: 3, el_6419: 4",0
"Al: 13, V: 4, Cu: 3","el_3486: 13, el_4182: 4, el_1377: 3",0
"Al: 13, V: 1, Cu: 6","el_3486: 13, el_4182: 1, el_1377: 6",1
"Al: 13, V: 1, Ge: 6","el_3486: 13, el_4182: 1, el_6419: 6",0
"Al: 14, Cr: 3, Si: 3","el_3486: 14, el_2802: 3, el_1995: 3",0
"Al: 14, Fe: 3, Ni: 3","el_3486: 14, el_7694: 3, el_7611: 3",1
"Al: 14, Ni: 21, B: 15","el_3486: 14, el_7611: 21, el_8033: 15",0
"Al: 14, Si: 3, Ni: 3","el_3486: 14, el_1995: 3, el_7611: 3",1
"Al: 14, Cr: 5, Si: 1","el_3486: 14, el_2802: 5, el_1995: 1",0
"Al: 14, Cr: 1, Si: 5","el_3486: 14, el_2802: 1, el_1995: 5",0
"Al: 14, Ni: 25, B: 11","el_3486: 14, el_7611: 25, el_8033: 11",0
"Al: 14, Ni: 5, Mo: 1","el_3486: 14, el_7611: 5, el_3373: 1",1
"Al: 14, V: 1, Cu: 5","el_3486: 14, el_4182: 1, el_1377: 5",0
"Al: 14, V: 1, Ge: 5","el_3486: 14, el_4182: 1, el_6419: 5",0
"Al: 15, Co: 2, Si: 3","el_3486: 15, el_9394: 2, el_1995: 3",1
"Al: 15, Cr: 2, Si: 3","el_3486: 15, el_2802: 2, el_1995: 3",0
"Al: 15, Cr: 3, Si: 2","el_3486: 15, el_2802: 3, el_1995: 2",0
"Al: 15, Cr: 4, Si: 1","el_3486: 15, el_2802: 4, el_1995: 1",0
"Al: 15, Cr: 1, Si: 4","el_3486: 15, el_2802: 1, el_1995: 4",0
"Al: 15, Ni: 3, Mo: 2","el_3486: 15, el_7611: 3, el_3373: 2",1
"Al: 15, Ni: 4, Mo: 1","el_3486: 15, el_7611: 4, el_3373: 1",1
"Al: 15, V: 2, Cu: 3","el_3486: 15, el_4182: 2, el_1377: 3",1
"Al: 15, V: 2, Ge: 3","el_3486: 15, el_4182: 2, el_6419: 3",0
"Al: 15, V: 3, Cu: 2","el_3486: 15, el_4182: 3, el_1377: 2",0
"Al: 15, V: 1, Cu: 4","el_3486: 15, el_4182: 1, el_1377: 4",1
"Al: 16, Cr: 1, Si: 3","el_3486: 16, el_2802: 1, el_1995: 3",0
"Al: 16, Ni: 3, Mo: 1","el_3486: 16, el_7611: 3, el_3373: 1",1
"Al: 16, V: 3, Cu: 1","el_3486: 16, el_4182: 3, el_1377: 1",0
"Al: 16, V: 1, Cu: 3","el_3486: 16, el_4182: 1, el_1377: 3",1
"Al: 17, Co: 2, Ni: 1","el_3486: 17, el_9394: 2, el_7611: 1",0
"Al: 17, Co: 1, Ni: 2","el_3486: 17, el_9394: 1, el_7611: 2",0
"Al: 17, Cr: 2, Si: 1","el_3486: 17, el_2802: 2, el_1995: 1",0
"Al: 17, Cr: 3","el_3486: 17, el_2802: 3",0
"Al: 17, Cr: 1, Si: 2","el_3486: 17, el_2802: 1, el_1995: 2",0
"Al: 17, Fe: 1, Ni: 2","el_3486: 17, el_7694: 1, el_7611: 2",0
"Al: 17, Ni: 2, Mo: 1","el_3486: 17, el_7611: 2, el_3373: 1",1
"Al: 17, V: 2, Cu: 1","el_3486: 17, el_4182: 2, el_1377: 1",1
"Al: 18, Co: 1, Ni: 1","el_3486: 18, el_9394: 1, el_7611: 1",0
"Al: 18, Cr: 1, Si: 1","el_3486: 18, el_2802: 1, el_1995: 1",0
"Al: 18, Fe: 1, Cu: 1","el_3486: 18, el_7694: 1, el_1377: 1",1
"Al: 18, Fe: 1, Ni: 1","el_3486: 18, el_7694: 1, el_7611: 1",0
"Al: 19, Cr: 5, Ge: 26","el_3486: 19, el_2802: 5, el_6419: 26",1
"Al: 2, Co: 33, B: 15","el_3486: 2, el_9394: 33, el_8033: 15",1
"Al: 2, Co: 39, B: 9","el_3486: 2, el_9394: 39, el_8033: 9",1
"Al: 2, Fe: 39, B: 9","el_3486: 2, el_7694: 39, el_8033: 9",1
"Al: 2, Ni: 33, B: 15","el_3486: 2, el_7611: 33, el_8033: 15",1
"Al: 2, Ni: 39, B: 9","el_3486: 2, el_7611: 39, el_8033: 9",1
"Al: 2, Ni: 27, B: 21","el_3486: 2, el_7611: 27, el_8033: 21",1
"Al: 21, Co: 2, Ni: 2","el_3486: 21, el_9394: 2, el_7611: 2",0
"Al: 21, Fe: 2, Ni: 2","el_3486: 21, el_7694: 2, el_7611: 2",1
"Al: 21, Co: 5, Ge: 24","el_3486: 21, el_9394: 5, el_6419: 24",1
"Al: 21, Cr: 4","el_3486: 21, el_2802: 4",0
"Al: 21, Fe: 5, Ge: 24","el_3486: 21, el_7694: 5, el_6419: 24",1
"Al: 21, Fe: 1, Co: 3","el_3486: 21, el_7694: 1, el_9394: 3",0
"Al: 21, Fe: 1, Ni: 3","el_3486: 21, el_7694: 1, el_7611: 3",0
"Al: 22, Co: 2, Ni: 1","el_3486: 22, el_9394: 2, el_7611: 1",0
"Al: 22, Co: 3","el_3486: 22, el_9394: 3",0
"Al: 22, Co: 1, Ni: 2","el_3486: 22, el_9394: 1, el_7611: 2",1
"Al: 22, Cr: 3","el_3486: 22, el_2802: 3",0
"Al: 22, Fe: 2, Co: 1","el_3486: 22, el_7694: 2, el_9394: 1",0
"Al: 22, Fe: 2, Ni: 1","el_3486: 22, el_7694: 2, el_7611: 1",0
"Al: 22, Fe: 3","el_3486: 22, el_7694: 3",0
"Al: 22, Fe: 1, Co: 2","el_3486: 22, el_7694: 1, el_9394: 2",0
"Al: 22, Fe: 1, Ni: 2","el_3486: 22, el_7694: 1, el_7611: 2",0
"Al: 22, Ni: 3","el_3486: 22, el_7611: 3",0
"Al: 23, Co: 2","el_3486: 23, el_9394: 2",0
"Al: 23, Co: 1, Ni: 1","el_3486: 23, el_9394: 1, el_7611: 1",0
"Al: 23, Cr: 2","el_3486: 23, el_2802: 2",0
"Al: 23, Fe: 2","el_3486: 23, el_7694: 2",0
"Al: 23, Fe: 1, Co: 1","el_3486: 23, el_7694: 1, el_9394: 1",0
"Al: 23, Fe: 1, Ni: 1","el_3486: 23, el_7694: 1, el_7611: 1",0
"Al: 23, Ni: 2","el_3486: 23, el_7611: 2",0
"Al: 24, Co: 1","el_3486: 24, el_9394: 1",0
"Al: 24, Cr: 1","el_3486: 24, el_2802: 1",0
"Al: 24, Fe: 1","el_3486: 24, el_7694: 1",0
"Al: 24, Ni: 1","el_3486: 24, el_7611: 1",0
"Al: 26, Cr: 5, Si: 19","el_3486: 26, el_2802: 5, el_1995: 19",1
"Al: 26, V: 5, Ge: 19","el_3486: 26, el_4182: 5, el_6419: 19",1
"Al: 27, Mo: 23","el_3486: 27, el_3373: 23",1
"Al: 29, Cr: 10, Si: 11","el_3486: 29, el_2802: 10, el_1995: 11",0
"Al: 2, Co: 31, B: 17","el_3486: 2, el_9394: 31, el_8033: 17",1
"Al: 2, Co: 35, B: 13","el_3486: 2, el_9394: 35, el_8033: 13",1
"Al: 2, Co: 37, B: 11","el_3486: 2, el_9394: 37, el_8033: 11",1
"Al: 2, Co: 41, B: 7","el_3486: 2, el_9394: 41, el_8033: 7",0
"Al: 2, Co: 43, B: 5","el_3486: 2, el_9394: 43, el_8033: 5",0
"Al: 2, Co: 5, B: 3","el_3486: 2, el_9394: 5, el_8033: 3",1
"Al: 2, Co: 7, B: 1","el_3486: 2, el_9394: 7, el_8033: 1",0
"Al: 2, Cu: 3","el_3486: 2, el_1377: 3",0
"Al: 2, Fe: 37, B: 11","el_3486: 2, el_7694: 37, el_8033: 11",1
"Al: 2, Fe: 41, B: 7","el_3486: 2, el_7694: 41, el_8033: 7",1
"Al: 2, Fe: 43, B: 5","el_3486: 2, el_7694: 43, el_8033: 5",0
"Al: 2, Fe: 5, B: 3","el_3486: 2, el_7694: 5, el_8033: 3",1
"Al: 2, Ni: 29, B: 19","el_3486: 2, el_7611: 29, el_8033: 19",1
"Al: 2, Ni: 31, B: 17","el_3486: 2, el_7611: 31, el_8033: 17",1
"Al: 2, Ni: 35, B: 13","el_3486: 2, el_7611: 35, el_8033: 13",1
"Al: 2, Ni: 37, B: 11","el_3486: 2, el_7611: 37, el_8033: 11",1
"Al: 2, Ni: 5, B: 3","el_3486: 2, el_7611: 5, el_8033: 3",1
"Al: 2, V: 1, Ge: 1","el_3486: 2, el_4182: 1, el_6419: 1",0
"Al: 30, Cr: 9, Si: 11","el_3486: 30, el_2802: 9, el_1995: 11",0
"Al: 32, Ni: 5, Ge: 13","el_3486: 32, el_7611: 5, el_6419: 13",1
"Al: 33, Mo: 17","el_3486: 33, el_3373: 17",1
"Al: 33, Si: 12, Ni: 5","el_3486: 33, el_1995: 12, el_7611: 5",1
"Al: 34, Si: 21, Mo: 45","el_3486: 34, el_1995: 21, el_3373: 45",1
"Al: 34, Cr: 5, Si: 11","el_3486: 34, el_2802: 5, el_1995: 11",1
"Al: 34, V: 5, Ge: 11","el_3486: 34, el_4182: 5, el_6419: 11",1
"Al: 35, Fe: 7, Cu: 8","el_3486: 35, el_7694: 7, el_1377: 8",0
"Al: 35, Fe: 7, Ni: 8","el_3486: 35, el_7694: 7, el_7611: 8",1
"Al: 35, Fe: 8, Ni: 7","el_3486: 35, el_7694: 8, el_7611: 7",1
"Al: 36, Fe: 7, Ni: 7","el_3486: 36, el_7694: 7, el_7611: 7",1
"Al: 39, Co: 5, Ge: 6","el_3486: 39, el_9394: 5, el_6419: 6",1
"Al: 39, Fe: 5, Ge: 6","el_3486: 39, el_7694: 5, el_6419: 6",1
"Al: 3, Cr: 1, Si: 1","el_3486: 3, el_2802: 1, el_1995: 1",0
"Al: 3, Cu: 1","el_3486: 3, el_1377: 1",0
"Al: 3, Cu: 2","el_3486: 3, el_1377: 2",0
"Al: 3, Fe: 80, P: 17","el_3486: 3, el_7694: 80, el_4874: 17",1
"Al: 3, V: 1, Ge: 1","el_3486: 3, el_4182: 1, el_6419: 1",0
"Al: 41, Fe: 2, Ni: 7","el_3486: 41, el_7694: 2, el_7611: 7",0
"Al: 42, Fe: 3, Ni: 5","el_3486: 42, el_7694: 3, el_7611: 5",0
"Al: 42, Fe: 7, Si: 1","el_3486: 42, el_7694: 7, el_1995: 1",0
"Al: 42, Fe: 1, Co: 7","el_3486: 42, el_7694: 1, el_9394: 7",0
"Al: 42, Fe: 1, Ni: 7","el_3486: 42, el_7694: 1, el_7611: 7",0
"Al: 43, Co: 7","el_3486: 43, el_9394: 7",0
"Al: 43, Co: 1, Ni: 6","el_3486: 43, el_9394: 1, el_7611: 6",0
"Al: 43, Cr: 7","el_3486: 43, el_2802: 7",0
"Al: 43, Fe: 2, Co: 5","el_3486: 43, el_7694: 2, el_9394: 5",0
"Al: 43, Fe: 2, Ni: 5","el_3486: 43, el_7694: 2, el_7611: 5",0
"Al: 43, Fe: 3, Co: 4","el_3486: 43, el_7694: 3, el_9394: 4",0
"Al: 43, Fe: 3, Ni: 4","el_3486: 43, el_7694: 3, el_7611: 4",0
"Al: 43, Fe: 4, Co: 3","el_3486: 43, el_7694: 4, el_9394: 3",0
"Al: 43, Fe: 4, Ni: 3","el_3486: 43, el_7694: 4, el_7611: 3",0
"Al: 43, Fe: 5, Co: 2","el_3486: 43, el_7694: 5, el_9394: 2",0
"Al: 43, Fe: 5, Ni: 2","el_3486: 43, el_7694: 5, el_7611: 2",0
"Al: 43, Fe: 6, Ni: 1","el_3486: 43, el_7694: 6, el_7611: 1",0
"Al: 43, Fe: 6, Si: 1","el_3486: 43, el_7694: 6, el_1995: 1",0
"Al: 43, Fe: 1, Co: 6","el_3486: 43, el_7694: 1, el_9394: 6",1
"Al: 43, Fe: 1, Ni: 6","el_3486: 43, el_7694: 1, el_7611: 6",1
"Al: 43, Ni: 7","el_3486: 43, el_7611: 7",0
"Al: 44, Co: 3, Ni: 3","el_3486: 44, el_9394: 3, el_7611: 3",0
"Al: 44, Fe: 3, Co: 3","el_3486: 44, el_7694: 3, el_9394: 3",0
"Al: 44, Fe: 3, Ni: 3","el_3486: 44, el_7694: 3, el_7611: 3",0
"Al: 44, Co: 5, Ni: 1","el_3486: 44, el_9394: 5, el_7611: 1",0
"Al: 44, Co: 1, Ni: 5","el_3486: 44, el_9394: 1, el_7611: 5",0
"Al: 44, Cr: 5, Si: 1","el_3486: 44, el_2802: 5, el_1995: 1",0
"Al: 44, Fe: 5, Co: 1","el_3486: 44, el_7694: 5, el_9394: 1",0
"Al: 44, Fe: 5, Ni: 1","el_3486: 44, el_7694: 5, el_7611: 1",0
"Al: 44, Fe: 5, Si: 1","el_3486: 44, el_7694: 5, el_1995: 1",0
"Al: 44, Fe: 1, Co: 5","el_3486: 44, el_7694: 1, el_9394: 5",0
"Al: 44, Fe: 1, Ni: 5","el_3486: 44, el_7694: 1, el_7611: 5",0
"Al: 45, Co: 2, Ni: 3","el_3486: 45, el_9394: 2, el_7611: 3",0
"Al: 45, Co: 3, Ni: 2","el_3486: 45, el_9394: 3, el_7611: 2",0
"Al: 45, Co: 4, Ni: 1","el_3486: 45, el_9394: 4, el_7611: 1",0
"Al: 45, Co: 1, Ni: 4","el_3486: 45, el_9394: 1, el_7611: 4",0
"Al: 45, Fe: 2, Co: 3","el_3486: 45, el_7694: 2, el_9394: 3",0
"Al: 45, Fe: 2, Ni: 3","el_3486: 45, el_7694: 2, el_7611: 3",0
"Al: 45, Fe: 3, Co: 2","el_3486: 45, el_7694: 3, el_9394: 2",0
"Al: 45, Fe: 3, Ni: 2","el_3486: 45, el_7694: 3, el_7611: 2",0
"Al: 45, Fe: 4, Co: 1","el_3486: 45, el_7694: 4, el_9394: 1",0
"Al: 45, Fe: 4, Ni: 1","el_3486: 45, el_7694: 4, el_7611: 1",0
"Al: 45, Fe: 4, Si: 1","el_3486: 45, el_7694: 4, el_1995: 1",0
"Al: 45, Fe: 1, Co: 4","el_3486: 45, el_7694: 1, el_9394: 4",0
"Al: 45, Fe: 1, Ni: 4","el_3486: 45, el_7694: 1, el_7611: 4",0
"Al: 46, Co: 3, Ni: 1","el_3486: 46, el_9394: 3, el_7611: 1",0
"Al: 46, Co: 1, Ni: 3","el_3486: 46, el_9394: 1, el_7611: 3",0
"Al: 46, Fe: 3, Co: 1","el_3486: 46, el_7694: 3, el_9394: 1",0
"Al: 46, Fe: 3, Ni: 1","el_3486: 46, el_7694: 3, el_7611: 1",0
"Al: 46, Fe: 1, Co: 3","el_3486: 46, el_7694: 1, el_9394: 3",0
"Al: 46, Fe: 1, Ni: 3","el_3486: 46, el_7694: 1, el_7611: 3",0
"Al: 47, Co: 2, Ni: 1","el_3486: 47, el_9394: 2, el_7611: 1",0
"Al: 47, Co: 3","el_3486: 47, el_9394: 3",0
"Al: 47, Co: 1, Ni: 2","el_3486: 47, el_9394: 1, el_7611: 2",0
"Al: 47, Cr: 3","el_3486: 47, el_2802: 3",0
"Al: 47, Fe: 2, Co: 1","el_3486: 47, el_7694: 2, el_9394: 1",0
"Al: 47, Fe: 2, Ni: 1","el_3486: 47, el_7694: 2, el_7611: 1",0
"Al: 47, Fe: 3","el_3486: 47, el_7694: 3",0
"Al: 47, Fe: 1, Co: 2","el_3486: 47, el_7694: 1, el_9394: 2",0
"Al: 47, Fe: 1, Ni: 2","el_3486: 47, el_7694: 1, el_7611: 2",0
"Al: 47, Ni: 3","el_3486: 47, el_7611: 3",0
"Al: 48, Co: 1, Ni: 1","el_3486: 48, el_9394: 1, el_7611: 1",0
"Al: 48, Fe: 1, Co: 1","el_3486: 48, el_7694: 1, el_9394: 1",0
"Al: 48, Fe: 1, Ni: 1","el_3486: 48, el_7694: 1, el_7611: 1",0
"Al: 49, Co: 1","el_3486: 49, el_9394: 1",0
"Al: 49, Co: 10, Si: 41","el_3486: 49, el_9394: 10, el_1995: 41",1
"Al: 49, Fe: 1","el_3486: 49, el_7694: 1",0
"Al: 49, Ni: 1","el_3486: 49, el_7611: 1",0
"Al: 4, Co: 29, B: 17","el_3486: 4, el_9394: 29, el_8033: 17",1
"Al: 4, Co: 31, B: 15","el_3486: 4, el_9394: 31, el_8033: 15",1
"Al: 4, Co: 33, B: 13","el_3486: 4, el_9394: 33, el_8033: 13",1
"Al: 4, Co: 35, B: 11","el_3486: 4, el_9394: 35, el_8033: 11",1
"Al: 4, Co: 37, B: 9","el_3486: 4, el_9394: 37, el_8033: 9",1
"Al: 4, Co: 39, B: 7","el_3486: 4, el_9394: 39, el_8033: 7",0
"Al: 4, Co: 41, B: 5","el_3486: 4, el_9394: 41, el_8033: 5",0
"Al: 4, Cr: 1","el_3486: 4, el_2802: 1",0
"Al: 4, Cu: 1","el_3486: 4, el_1377: 1",0
"Al: 4, Fe: 35, B: 11","el_3486: 4, el_7694: 35, el_8033: 11",1
"Al: 4, Fe: 37, B: 9","el_3486: 4, el_7694: 37, el_8033: 9",1
"Al: 4, Fe: 39, B: 7","el_3486: 4, el_7694: 39, el_8033: 7",1
"Al: 4, Fe: 41, B: 5","el_3486: 4, el_7694: 41, el_8033: 5",0
"Al: 4, Ni: 1","el_3486: 4, el_7611: 1",0
"Al: 4, Ni: 25, B: 21","el_3486: 4, el_7611: 25, el_8033: 21",1
"Al: 4, Ni: 27, B: 19","el_3486: 4, el_7611: 27, el_8033: 19",1
"Al: 4, Ni: 29, B: 17","el_3486: 4, el_7611: 29, el_8033: 17",1
"Al: 4, Ni: 31, B: 15","el_3486: 4, el_7611: 31, el_8033: 15",1
"Al: 4, Ni: 33, B: 13","el_3486: 4, el_7611: 33, el_8033: 13",1
"Al: 4, Ni: 35, B: 11","el_3486: 4, el_7611: 35, el_8033: 11",1
"Al: 4, Ni: 37, B: 9","el_3486: 4, el_7611: 37, el_8033: 9",1
"Al: 52, Co: 23, Si: 25","el_3486: 52, el_9394: 23, el_1995: 25",1
"Al: 52, Fe: 23, Ge: 25","el_3486: 52, el_7694: 23, el_6419: 25",1
"Al: 52, Fe: 23, Si: 25","el_3486: 52, el_7694: 23, el_1995: 25",1
"Al: 52, Si: 25, Ni: 23","el_3486: 52, el_1995: 25, el_7611: 23",1
"Al: 53, Si: 16, Mo: 31","el_3486: 53, el_1995: 16, el_3373: 31",1
"Al: 57, Co: 18, Ge: 25","el_3486: 57, el_9394: 18, el_6419: 25",1
"Al: 57, Cr: 23, Si: 20","el_3486: 57, el_2802: 23, el_1995: 20",0
"Al: 57, Cr: 28, Si: 15","el_3486: 57, el_2802: 28, el_1995: 15",0
"Al: 57, Fe: 27, Ni: 16","el_3486: 57, el_7694: 27, el_7611: 16",0
"Al: 57, V: 18, Ge: 25","el_3486: 57, el_4182: 18, el_6419: 25",1
"Al: 58, Cr: 17, Si: 25","el_3486: 58, el_2802: 17, el_1995: 25",1
"Al: 59, Cr: 19, Si: 22","el_3486: 59, el_2802: 19, el_1995: 22",0
"Al: 59, Ni: 10, Ge: 31","el_3486: 59, el_7611: 10, el_6419: 31",1
"Al: 5, Fe: 2, Cu: 3","el_3486: 5, el_7694: 2, el_1377: 3",0
"Al: 5, V: 2, Ge: 3","el_3486: 5, el_4182: 2, el_6419: 3",0
"Al: 5, V: 1, Cu: 4","el_3486: 5, el_4182: 1, el_1377: 4",0
"Al: 5, V: 1, Ge: 4","el_3486: 5, el_4182: 1, el_6419: 4",0
"Al: 6, Co: 33, B: 11","el_3486: 6, el_9394: 33, el_8033: 11",1
"Al: 6, Fe: 33, B: 11","el_3486: 6, el_7694: 33, el_8033: 11",1
"Al: 6, Ni: 33, B: 11","el_3486: 6, el_7611: 33, el_8033: 11",1
"Al: 61, Cr: 21, Si: 18","el_3486: 61, el_2802: 21, el_1995: 18",0
"Al: 61, Cr: 10, Ge: 29","el_3486: 61, el_2802: 10, el_6419: 29",1
"Al: 62, Cr: 19, Si: 19","el_3486: 62, el_2802: 19, el_1995: 19",0
"Al: 62.5, Fe: 12.5, Cu: 25","el_3486: 62.5, el_7694: 12.5, el_1377: 25",0
"Al: 62, Fe: 17, Cu: 21","el_3486: 62, el_7694: 17, el_1377: 21",0
"Al: 62, Ni: 13, Ge: 25","el_3486: 62, el_7611: 13, el_6419: 25",1
"Al: 63, Cr: 15, Si: 22","el_3486: 63, el_2802: 15, el_1995: 22",0
"Al: 63, Cr: 19, Si: 18","el_3486: 63, el_2802: 19, el_1995: 18",0
"Al: 63, Fe: 12, Si: 25","el_3486: 63, el_7694: 12, el_1995: 25",1
"Al: 63, Si: 6, Mo: 31","el_3486: 63, el_1995: 6, el_3373: 31",1
"Al: 64, Fe: 13, Cu: 23","el_3486: 64, el_7694: 13, el_1377: 23",0
"Al: 65, Fe: 21, Ni: 14","el_3486: 65, el_7694: 21, el_7611: 14",0
"Al: 65, Si: 17.5, Ni: 17.5","el_3486: 65, el_1995: 17.5, el_7611: 17.5",1
"Al: 65, Si: 19, Ni: 16","el_3486: 65, el_1995: 19, el_7611: 16",1
"Al: 66.5, Si: 18.5, Ni: 15","el_3486: 66.5, el_1995: 18.5, el_7611: 15",1
"Al: 67, Fe: 21, Ni: 12","el_3486: 67, el_7694: 21, el_7611: 12",0
"Al: 67.5, Si: 17.5, Ni: 15","el_3486: 67.5, el_1995: 17.5, el_7611: 15",1
"Al: 67, V: 13, Cu: 20","el_3486: 67, el_4182: 13, el_1377: 20",1
"Al: 68, Cr: 15, Si: 17","el_3486: 68, el_2802: 15, el_1995: 17",0
"Al: 69, Co: 6, Ge: 25","el_3486: 69, el_9394: 6, el_6419: 25",1
"Al: 69, Fe: 13, Cu: 18","el_3486: 69, el_7694: 13, el_1377: 18",0
"Al: 69, Fe: 6, Ge: 25","el_3486: 69, el_7694: 6, el_6419: 25",1
"Al: 69, Ni: 6, Ge: 25","el_3486: 69, el_7611: 6, el_6419: 25",1
"Al: 69, V: 6, Ge: 25","el_3486: 69, el_4182: 6, el_6419: 25",1
"Al: 6, Co: 25, B: 19","el_3486: 6, el_9394: 25, el_8033: 19",1
"Al: 6, Co: 27, B: 17","el_3486: 6, el_9394: 27, el_8033: 17",1
"Al: 6, Co: 29, B: 15","el_3486: 6, el_9394: 29, el_8033: 15",1
"Al: 6, Co: 31, B: 13","el_3486: 6, el_9394: 31, el_8033: 13",1
"Al: 6, Co: 35, B: 9","el_3486: 6, el_9394: 35, el_8033: 9",1
"Al: 6, Co: 37, B: 7","el_3486: 6, el_9394: 37, el_8033: 7",0
"Al: 6, Co: 39, B: 5","el_3486: 6, el_9394: 39, el_8033: 5",0
"Al: 6, Co: 41, B: 3","el_3486: 6, el_9394: 41, el_8033: 3",0
"Al: 6, Co: 9, B: 10","el_3486: 6, el_9394: 9, el_8033: 10",1
"Al: 6, Cr: 3, Si: 1","el_3486: 6, el_2802: 3, el_1995: 1",0
"Al: 6, Cr: 1, Ge: 3","el_3486: 6, el_2802: 1, el_6419: 3",1
"Al: 6, Cr: 1, Si: 3","el_3486: 6, el_2802: 1, el_1995: 3",1
"Al: 6, Fe: 37, B: 7","el_3486: 6, el_7694: 37, el_8033: 7",1
