model,rung,tag,comp,label,pred,conf,route,err
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.55,0.3,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.4,0.3,DEFER,1
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.85,0.55,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.55,0.3,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.45,0.3,DEFER,1
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.78,0.45,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.75,0.4,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.65,0.4,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.85,0.55,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.7,0.4,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.3,0.25,DEFER,1
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.65,0.4,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.45,0.25,DEFER,1
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.75,0.4,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.6,0.3,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.6,0.3,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.55,0.2,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.6,0.3,DEFER,0
claude-opus-4-8,smiles_herg,web-zero-out,out,1,0.55,0.3,DEFER,0
